"","doc_title","n_positive","n_negative","net_sentiment","tfidf_positive","tfidf_negative","net_sentiment_tfidf"
"1","text a",366,256,110,0.00508327114565893,0.00733717438948884,-0.0022539032438299
"2","text b",344,281,63,0.011512904862857,0.0162586824399125,-0.00474577757705554
